Rank,Name,Age,Team,Health Status,Proj Pts (NHL.com),Proj Pts (DailyFaceoff),Proj Pts (FantasyPros),Proj Pts (theScore),PTS (2024-25),GP (2024-25),G (2024-25),A (2024-25),SOG (2024-25),Hits (2024-25),Blocks (2024-25),FOW (2024-25),TOI/GP
1,Nathan MacKinnon,30,COL,,118,120.5,,,116,79,32,84,320,38,58,756,22.782489451476795
2,Connor McDavid,28,EDM,,135,126.2,,,100,67,26,74,196,40,18,370,22.03134328358209
3,Leon Draisaitl,30,EDM,,114,114.1,,,106,71,52,54,241,23,27,650,21.51737089201878
4,Nikita Kucherov,32,TBL,,115,122.3,,,121,78,37,84,265,23,33,1,21.18952991452992
5,Cale Makar,27,COL,,,84.7,,,92,80,30,62,246,51,128,0,25.71625
6,Kirill Kaprizov,28,MIN,,109,98.5,,,56,41,25,31,145,16,17,0,22.467073170731705
7,Brady Tkachuk,26,OTT,,82,67.9,,,55,72,29,26,296,228,33,178,18.2375
8,David Pastrnak,29,BOS,,94,104.5,,,106,82,43,63,319,58,24,3,20.18617886178862
9,Mikko Rantanen,29,DAL,,96,92.2,,,88,82,32,56,212,48,44,135,21.24918699186992
11,Jack Eichel,29,VGK,,101,83.1,,,94,77,28,66,233,22,55,572,20.533549783549784
12,Auston Matthews,28,TOR,,91,93.8,,,78,67,33,45,261,45,89,695,20.47213930348259
14,Quinn Hughes,26,VAN,,,84,,,76,68,16,60,193,13,67,0,25.729166666666668
15,Kyle Connor,29,WPG,,90,86,,,97,82,41,56,267,21,46,1,20.39471544715447
16,Sidney Crosby,38,PIT,,90,88.4,,,91,80,33,58,227,67,39,1016,20.37458333333333
17,Zach Werenski,28,CBJ,,84,69.7,,,82,81,23,59,298,19,131,0,26.74526748971193
18,Sam Reinhart,30,FLA,,82,82,,,81,79,39,42,213,103,62,212,20.502320675105484
19,William Nylander,29,TOR,,84,90.2,,,84,82,45,39,253,14,27,76,19.509552845528454
20,Jack Hughes,24,NJD,,97,83.4,,,70,62,27,43,229,7,29,251,20.90080645
22,Mitch Marner,28,VGK,,100,94.1,,,102,81,27,75,173,49,40,10,21.31543209876543
23,Brayden Point,29,TBL,,86,83.1,,,82,77,42,40,190,26,45,430,19.47922077922078
24,Alex Ovechkin,40,WSH,,64,76.7,,,73,65,44,29,237,110,13,0,17.724358974358974
25,Nick Suzuki,26,MTL,,90,74.1,,,89,82,30,59,172,63,71,680,20.06056910569106
26,Artemi Panarin,34,NYR,,95,76.4,,,89,80,37,52,237,18,11,0,19.683125
27,Filip Forsberg,31,NSH,,82,99.4,,,76,82,31,45,281,151,52,4,18.62784552845529
28,Jake Guentzel,31,TBL,,82,35,,,80,80,41,39,217,28,52,177,19.992708333333333
29,Clayton Keller,27,UTA,,92,69.7,,,90,81,30,60,218,11,30,10,19.118106995884773
30,Martin Necas,26,COL,,85,26,,,83,79,27,56,194,62,23,51,18.99852320675105
31,Mark Scheifele,32,WPG,,81,87,,,87,82,39,48,181,73,60,627,20.439837398373985
32,Tage Thompson,28,BUF,,75,82,,,72,76,44,28,242,70,31,301,18.756359649122807
33,Macklin Celebrini,19,SJS,,83,57,,,63,70,25,38,236,37,53,507,19.78809523809524
34,Matt Boldy,24,MIN,,80,76.2,,,73,82,27,46,272,52,69,58,20.288211382113825
35,Victor Hedman,35,TBL,,66,26,,,66,79,15,51,181,39,133,0,23.07974683544304
36,Evan Bouchard,26,EDM,,86,63.6,,,67,82,14,53,235,31,108,0,23.45833333333333
38,Jesper Bratt,27,NJD,,86,72.3,,,88,81,21,67,180,96,42,0,18.94814814814815
39,Jason Robertson,26,DAL,,84,78.1,,,80,82,35,45,211,60,45,7,17.79349593495935
40,Dylan Guenther,22,UTA,,75,68.8,,,60,70,27,33,204,53,42,10,16.997142857142858
41,J.T. Miller,32,NYR,,79,79.2,,,70,72,22,48,137,168,50,628,18.20023148148148
42,Rasmus Dahlin,25,BUF,,,61.2,,,68,73,17,51,200,101,98,0,24.235616438356164
43,Moritz Seider,24,DET,,52,70.6,,,46,82,8,38,162,212,181,0,25.07215447154472
44,Brandon Hagel,27,TBL,,80,67.5,,,90,82,35,55,228,59,60,8,20.74329268292683
45,Robert Thomas,26,STL,,84,68.7,,,81,70,21,60,145,13,48,733,19.95809523809524
46,Cole Caufield,24,MTL,,72,55,,,70,82,37,33,240,66,31,6,18.07601626
47,Tim Stutzle,,OTT,,81,28.1,,,,,,,,,,,
48,Adrian Kempe,29,LAK,,74,84,,,73,81,35,38,237,100,36,11,19.155349794238685
49,Tom Wilson,31,WSH,,65,73.5,,,65,81,33,32,169,233,71,5,18.726748971193413
50,Lucas Raymond,23,DET,,82,70,,,80,82,27,53,192,42,34,1,18.78333333333333
52,Seth Jarvis,23,CAR,,80,69.3,,,67,73,32,35,204,93,51,52,19.35593607305936
53,Lane Hutson,21,MTL,,70,66.4,,,66,82,6,60,90,40,123,0,22.73313008130081
54,John Tavares,35,TOR,,72,48,,,74,75,38,36,200,92,45,762,18.225555555555555
58,Wyatt Johnston,22,DAL,,81,65.8,,,71,82,33,38,202,45,47,465,18.92581300813008
59,Jake Sanderson,23,OTT,,57,62.9,,,57,80,11,46,195,38,163,0,24.442083333333336
60,Alex DeBrincat,28,DET,,69,70.1,,,70,82,39,31,244,33,38,26,17.871138211382114
61,Sebastian Aho,29,CAR,,80,66.8,,,74,79,29,45,207,59,30,663,20.100210970464136
62,Nico Hischier,26,NJD,,73,70.4,,,69,75,35,34,187,44,60,987,20.388
63,Dylan Larkin,29,DET,,75,62.4,,,70,82,30,40,234,44,33,871,20.07073170731708
64,Sam Bennett,29,FLA,,62,57,,,51,76,25,26,241,145,45,450,17.453508771929823
65,Roope Hintz,29,DAL,,77,64.1,,,67,76,28,39,160,53,46,458,16.89122807017544
66,Connor Bedard,20,CHI,,75,68,,,67,82,23,44,195,47,37,251,20.28556910569106
67,Matvei Michkov,21,PHI,,70,69.4,,,63,80,26,37,200,29,23,19,16.684375
68,Dylan Holloway,24,STL,,72,67.6,,,63,77,26,37,178,165,50,61,16.824458874458873
69,Matthew Knies,23,TOR,,68,68.1,,,58,78,29,29,152,182,41,0,18.514957264957264
70,Kirill Marchenko,25,CBJ,,78,60.8,,,74,79,31,43,207,55,38,13,18.58312236
71,Tomas Hertl,32,VGK,,67,47.4,,,61,73,32,29,177,99,56,536,17.116666666666667
72,Pavel Dorofeyev,25,VGK,,66,49,,,52,82,35,17,253,28,37,3,16.526626016260163
73,Gabriel Vilardi,26,WPG,,67,82.3,,,61,71,27,34,130,21,50,75,18.136150234741784
74,Thomas Harley,24,DAL,,,50.7,,,50,78,16,34,171,33,110,0,23.38226495726496
76,MacKenzie Weegar,31,CGY,,,11.7,,,47,81,8,39,184,223,192,0,24.16440329218107
77,Roman Josi,35,NSH,,69,42.4,,,38,53,9,29,150,42,95,0,25.03238993710692
78,Nikolaj Ehlers,29,CAR,,75,82,,,63,69,24,39,174,38,33,5,15.794927536231883
79,Adam Fox,27,NYR,,70,109.9,,,61,74,10,51,135,40,108,0,23.24887387387388
82,Kevin Fiala,29,LAK,,73,54.7,,,60,81,35,25,244,63,22,15,18.51358024691358
85,Valeri Nichushkin,30,COL,,67,70.2,,,34,43,21,13,118,55,21,3,19.739922480620155
86,Nazem Kadri,35,CGY,,65,64.5,,,67,82,35,32,279,55,30,677,19.35487804878049
87,Jordan Kyrou,27,STL,,71,26.2,,,70,82,36,34,239,50,36,5,17.482520325203254
88,JJ Peterka,23,UTA,,73,61.4,,,68,77,27,41,173,30,16,2,18.183982683982684
89,Josh Morrissey,30,WPG,,60,59.2,,,62,80,14,48,172,49,113,0,24.39125
90,Jakob Chychrun,27,WSH,,50,60.7,,,47,74,20,27,179,59,87,0,21.064189189189182
91,Dougie Hamilton,32,NJD,,56,8.2,,,40,64,9,31,186,74,85,0,19.855729166666663
92,Dylan Strome,28,WSH,,79,49.2,,,82,82,29,53,150,23,54,691,17.383739837398373
93,Shea Theodore,30,VGK,,,44.6,,,57,67,7,50,128,6,82,0,21.99228855721393
94,Jackson LaCombe,24,ANA,,52,61.2,,,43,75,14,29,134,69,129,0,22.300666666666665
95,Mikhail Sergachev,27,UTA,,58,62.7,,,53,77,15,38,132,61,140,0,25.11688311688312
96,Carter Verhaeghe,30,FLA,,69,62.5,,,53,81,20,33,242,95,28,16,17.869135802469135
98,Timo Meier,29,NJD,,61,60.8,,,53,80,26,27,239,141,65,8,17.859583333333333
99,Drake Batherson,27,OTT,Injured,67,57.2,,,68,82,26,42,192,149,30,12,18.142479674796743
100,Logan Cooley,21,UTA,,70,53.7,,,65,75,25,40,158,63,32,340,17.861333333333334
101,Ivan Demidov,20,MTL,Rookie,61,49.9,,,2,2,1,1,5,2,0,0,13.708333333333334
102,Brandon Montour,31,SEA,,,47.8,,,41,81,18,23,231,84,100,0,22.97613169
104,Gabriel Landeskog,33,COL,,64,42.8,,,,,,,,,,,
105,Zach Hyman,33,EDM,Injured,68,60,,,44,73,27,17,210,59,24,2,18.88150684931507
106,Sean Monahan,31,CBJ,,70,48.5,,,57,54,19,38,128,30,34,616,19.014814814814816
107,Adam Fantilli,21,CBJ,,73,57.2,,,54,82,31,23,191,113,56,420,17.477845528455287
108,Bryan Rust,33,PIT,,67,66.9,,,65,71,31,34,191,62,54,9,19.75070422535212
109,Juraj Slafkovsky,,MTL,,63,60.4,,,,,,,,,,,
110,Noah Dobson,25,MTL,,51,65.5,,,39,71,10,29,196,57,126,0,23.272300469483568
111,Miro Heiskanen,26,DAL,,44,18.2,,,25,50,5,20,108,17,85,0,25.16033333333333
112,Travis Konecny,28,PHI,,72,60.5,,,76,82,24,52,188,94,42,39,20.602845528455287
113,Vincent Trocheck,32,NYR,,68,36.7,,,59,82,26,33,202,214,78,910,21.09898374
114,Joel Eriksson Ek,28,MIN,,65,59.4,,,29,46,14,15,140,82,36,408,19.76630434782609
117,Elias Pettersson,21,VAN,,75,60.7,,,45,64,15,30,109,74,77,458,18.660416666666663
118,Matthew Tkachuk,28,FLA,Injured,56,9.4,,,57,52,22,35,156,84,12,1,18.231410256410257
119,Morgan Geekie,27,BOS,,,47.9,,,57,77,33,24,150,110,29,174,16.920346320346322
120,Brad Marchand,37,FLA,,61,37,,,51,71,23,28,194,81,34,5,18.32417840375587
121,Ryan Nugent-Hopkins,32,EDM,,64,34.1,,,49,78,20,29,164,26,48,270,18.97286324786325
122,Mark Stone,33,VGK,,60,54.8,,,67,66,19,48,131,32,42,5,19.25429292929293
123,Alex Tuch,29,BUF,,63,42.5,,,67,82,36,31,197,73,113,77,19.254268292682926
124,Matt Duchene,34,DAL,,70,51.4,,,82,82,30,52,152,29,21,440,17.142886178861787
125,Mikael Granlund,33,ANA,,59,51.3,,,66,83,22,44,169,57,60,359,19.449799196787147
126,Patrick Kane,37,DET,,65,54.4,,,59,72,21,38,175,19,23,5,17.97939814814815
127,Andrei Svechnikov,25,CAR,,59,61.4,,,48,72,20,28,180,148,22,1,17.113657407407405
128,Will Smith,20,SJS,,56,57.2,,,45,74,18,27,127,13,16,65,15.852702702702704
129,Cutter Gauthier,21,ANA,,55,46,,,43,82,20,23,190,68,51,21,14.15548780487805
130,Quinton Byfield,23,LAK,,60,45.1,,,54,81,23,31,158,80,33,415,18.623456790123456
131,Rickard Rakell,32,PIT,,62,50.9,,,70,81,35,35,203,116,77,19,19.297530864197533
132,Frank Vatrano,31,ANA,,48,47.9,,,45,81,21,24,234,169,69,16,17.545267489711932
133,Bo Horvat,30,NYI,,65,18,,,57,81,28,29,243,100,40,767,20.173456790123456
134,Erik Karlsson,35,PIT,,,15.2,,,53,82,11,42,191,29,94,0,23.23577235772358
135,Mika Zibanejad,32,NYR,,67,60.4,,,62,82,20,42,183,44,46,549,18.76239837398374
136,Mathew Barzal,28,NYI,,67,60.6,,,20,30,6,14,78,24,24,22,20.349444444444444
137,Brock Nelson,34,COL,,65,22.4,,,56,80,26,30,193,35,43,630,18.9125
138,Marco Rossi,24,MIN,,63,17.9,,,60,82,24,36,136,62,41,464,18.24573170731708
139,Mason McTavish,22,ANA,,60,58,,,52,76,22,30,180,70,31,487,16.875657894736843
140,Kiefer Sherwood,30,VAN,,47,18.7,,,40,78,19,21,141,462,30,24,14.889102564102563
141,John Carlson,35,WSH,,,21.2,,,51,79,5,46,167,49,131,0,23.564135021097048
142,Shayne Gostisbehere,32,CAR,,,43.8,,,45,70,7,38,122,41,66,0,18.52095238095238
,,,,,,59.8,,,,,,,,,,,
,,,,,,67.3,,,,,,,,,,,
,,,,,,57.6,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,
,,,,,,69,,,,,,,,,,,
,,,,,,57.9,,,,,,,,,,,
,,,,,,57.8,,,,,,,,,,,
,,,,,,54.8,,,,,,,,,,,
,,,,,,52,,,,,,,,,,,
,,,,,,50.4,,,,,,,,,,,
,,,,,,14.4,,,,,,,,,,,
,,,,,,37.6,,,,,,,,,,,
,,,,,,19.6,,,,,,,,,,,
,,,,,,54.7,,,,,,,,,,,
,,,,,,43.7,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,
,,,,,,43.8,,,,,,,,,,,
,,,,,,47.3,,,,,,,,,,,
,,,,,,58.9,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,
,,,,,,60.9,,,,,,,,,,,
,,,,,,41.8,,,,,,,,,,,
,,,,,,56.3,,,,,,,,,,,
,,,,,,58.1,,,,,,,,,,,
,,,,,,48.7,,,,,,,,,,,
,,,,,,42.6,,,,,,,,,,,
,,,,,,54.6,,,,,,,,,,,
,,,,,,33.2,,,,,,,,,,,
,,,,,,47.8,,,,,,,,,,,
,,,,,,54.5,,,,,,,,,,,
,,,,,,40.6,,,,,,,,,,,
,,,,,,43.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,60,,,,,,,,,,,
,,,,,,48,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,
,,,,,,54,,,,,,,,,,,